date_sk,full_date,day_of_month,day_name,week_of_year,month_number,month_name,quarter_number,year_number,is_weekend,is_peak_season
20251103,2025-11-03,3,Senin,45,11,November,4,2025,False,False
20251104,2025-11-04,4,Selasa,45,11,November,4,2025,False,False
20251105,2025-11-05,5,Rabu,45,11,November,4,2025,False,False
20251106,2025-11-06,6,Kamis,45,11,November,4,2025,False,False
20251107,2025-11-07,7,Jumat,45,11,November,4,2025,False,False
20251108,2025-11-08,8,Sabtu,45,11,November,4,2025,True,False
20251109,2025-11-09,9,Minggu,45,11,November,4,2025,True,False
20251110,2025-11-10,10,Senin,46,11,November,4,2025,False,False
20251111,2025-11-11,11,Selasa,46,11,November,4,2025,False,False
20251112,2025-11-12,12,Rabu,46,11,November,4,2025,False,False
20251113,2025-11-13,13,Kamis,46,11,November,4,2025,False,False
20251114,2025-11-14,14,Jumat,46,11,November,4,2025,False,False
20251115,2025-11-15,15,Sabtu,46,11,November,4,2025,True,False
20251116,2025-11-16,16,Minggu,46,11,November,4,2025,True,False
20251117,2025-11-17,17,Senin,47,11,November,4,2025,False,False
20251118,2025-11-18,18,Selasa,47,11,November,4,2025,False,False
20251119,2025-11-19,19,Rabu,47,11,November,4,2025,False,False
20251120,2025-11-20,20,Kamis,47,11,November,4,2025,False,False
20251121,2025-11-21,21,Jumat,47,11,November,4,2025,False,False
20251122,2025-11-22,22,Sabtu,47,11,November,4,2025,True,False
20251123,2025-11-23,23,Minggu,47,11,November,4,2025,True,False
20251124,2025-11-24,24,Senin,48,11,November,4,2025,False,False
20251125,2025-11-25,25,Selasa,48,11,November,4,2025,False,False
20251126,2025-11-26,26,Rabu,48,11,November,4,2025,False,False
20251127,2025-11-27,27,Kamis,48,11,November,4,2025,False,False
20251128,2025-11-28,28,Jumat,48,11,November,4,2025,False,False
20251129,2025-11-29,29,Sabtu,48,11,November,4,2025,True,False
20251130,2025-11-30,30,Minggu,48,11,November,4,2025,True,False
20251201,2025-12-01,1,Senin,49,12,Desember,4,2025,False,True
20251202,2025-12-02,2,Selasa,49,12,Desember,4,2025,False,True
20251203,2025-12-03,3,Rabu,49,12,Desember,4,2025,False,True
20251204,2025-12-04,4,Kamis,49,12,Desember,4,2025,False,True
20251205,2025-12-05,5,Jumat,49,12,Desember,4,2025,False,True
20251206,2025-12-06,6,Sabtu,49,12,Desember,4,2025,True,True
20251207,2025-12-07,7,Minggu,49,12,Desember,4,2025,True,True
20251208,2025-12-08,8,Senin,50,12,Desember,4,2025,False,True
20251209,2025-12-09,9,Selasa,50,12,Desember,4,2025,False,True
20251210,2025-12-10,10,Rabu,50,12,Desember,4,2025,False,True
20251211,2025-12-11,11,Kamis,50,12,Desember,4,2025,False,True
20251212,2025-12-12,12,Jumat,50,12,Desember,4,2025,False,True
20251213,2025-12-13,13,Sabtu,50,12,Desember,4,2025,True,True
20251214,2025-12-14,14,Minggu,50,12,Desember,4,2025,True,True
20251215,2025-12-15,15,Senin,51,12,Desember,4,2025,False,True
20251216,2025-12-16,16,Selasa,51,12,Desember,4,2025,False,True
20251217,2025-12-17,17,Rabu,51,12,Desember,4,2025,False,True
20251218,2025-12-18,18,Kamis,51,12,Desember,4,2025,False,True
20251219,2025-12-19,19,Jumat,51,12,Desember,4,2025,False,True
20251220,2025-12-20,20,Sabtu,51,12,Desember,4,2025,True,True
20251221,2025-12-21,21,Minggu,51,12,Desember,4,2025,True,True
20251222,2025-12-22,22,Senin,52,12,Desember,4,2025,False,True
20251223,2025-12-23,23,Selasa,52,12,Desember,4,2025,False,True
20251224,2025-12-24,24,Rabu,52,12,Desember,4,2025,False,True
20251225,2025-12-25,25,Kamis,52,12,Desember,4,2025,False,True
20251226,2025-12-26,26,Jumat,52,12,Desember,4,2025,False,True
20251227,2025-12-27,27,Sabtu,52,12,Desember,4,2025,True,True
20251228,2025-12-28,28,Minggu,52,12,Desember,4,2025,True,True
